,answer_start,answer,title,context,question
10,473,2014,UFMS,"A Universidade Federal de Mato Grosso do Sul (UFMS) teve sua origem em 1962, com a criação da Faculdade de Farmácia e Odontologia, em Campo Grande, que seria o embrião do ensino superior público no sul do então estado de Mato Grosso. Em 26 de julho de 1966, através da Lei nº 2.620, esses cursos foram absorvidos com a criação do Instituto de Ciências Biológicas de Campo Grande, que reformulou a estrutura anterior, instituiu departamentos e criou o curso de Medicina. Em 2014, foi criado um curso de Medicina também em Três Lagoas. Em Corumbá, o Governo de Estado criou, em 1967, o Instituto Superior de Pedagogia e, em Três Lagoas, o Instituto de Ciências Humanas e Letras, ampliando assim a rede de ensino superior. Com a divisão do estado de Mato Grosso, foi concretizada a federalização da instituição que passou a denominar-se Fundação Universidade Federal de Mato Grosso do Sul, pela Lei Federal nº 6.674, de 05.07.1979. O então Centro Pedagógico de Rondonópolis, sediado em Rondonópolis - MT, passou a integrar a Universidade Federal de Mato Grosso (UFMT). Em 2005 o campus de Dourados(CPDO) é desmembrado para dar origem á Universidade Federal da Grande Dourados com a sua instalação ocorrida em 01.01.2006, de acordo com a Lei nº 11.153, de 29.07.2005.",Em que ano foi criado o curso de Medicina em Três Lagoas?
11,576,1967,UFMS,"A Universidade Federal de Mato Grosso do Sul (UFMS) teve sua origem em 1962, com a criação da Faculdade de Farmácia e Odontologia, em Campo Grande, que seria o embrião do ensino superior público no sul do então estado de Mato Grosso. Em 26 de julho de 1966, através da Lei nº 2.620, esses cursos foram absorvidos com a criação do Instituto de Ciências Biológicas de Campo Grande, que reformulou a estrutura anterior, instituiu departamentos e criou o curso de Medicina. Em 2014, foi criado um curso de Medicina também em Três Lagoas. Em Corumbá, o Governo de Estado criou, em 1967, o Instituto Superior de Pedagogia e, em Três Lagoas, o Instituto de Ciências Humanas e Letras, ampliando assim a rede de ensino superior. Com a divisão do estado de Mato Grosso, foi concretizada a federalização da instituição que passou a denominar-se Fundação Universidade Federal de Mato Grosso do Sul, pela Lei Federal nº 6.674, de 05.07.1979. O então Centro Pedagógico de Rondonópolis, sediado em Rondonópolis - MT, passou a integrar a Universidade Federal de Mato Grosso (UFMT). Em 2005 o campus de Dourados(CPDO) é desmembrado para dar origem á Universidade Federal da Grande Dourados com a sua instalação ocorrida em 01.01.2006, de acordo com a Lei nº 11.153, de 29.07.2005.",Quando foi criado o Instituto Superior de Pedagogia em Corumbá?
12,777,a federalização da instituição,UFMS,"A Universidade Federal de Mato Grosso do Sul (UFMS) teve sua origem em 1962, com a criação da Faculdade de Farmácia e Odontologia, em Campo Grande, que seria o embrião do ensino superior público no sul do então estado de Mato Grosso. Em 26 de julho de 1966, através da Lei nº 2.620, esses cursos foram absorvidos com a criação do Instituto de Ciências Biológicas de Campo Grande, que reformulou a estrutura anterior, instituiu departamentos e criou o curso de Medicina. Em 2014, foi criado um curso de Medicina também em Três Lagoas. Em Corumbá, o Governo de Estado criou, em 1967, o Instituto Superior de Pedagogia e, em Três Lagoas, o Instituto de Ciências Humanas e Letras, ampliando assim a rede de ensino superior. Com a divisão do estado de Mato Grosso, foi concretizada a federalização da instituição que passou a denominar-se Fundação Universidade Federal de Mato Grosso do Sul, pela Lei Federal nº 6.674, de 05.07.1979. O então Centro Pedagógico de Rondonópolis, sediado em Rondonópolis - MT, passou a integrar a Universidade Federal de Mato Grosso (UFMT). Em 2005 o campus de Dourados(CPDO) é desmembrado para dar origem á Universidade Federal da Grande Dourados com a sua instalação ocorrida em 01.01.2006, de acordo com a Lei nº 11.153, de 29.07.2005.",O que foi concretizada com a divisão do estado de Mato Grosso?
13,130,de especialização e os programas de mestrado e doutorado,UFMS,"A UFMS possui cursos de graduação e pós-graduação, ambos presenciais e a distância. Os cursos de pós-graduação englobam os cursos de especialização e os programas de mestrado e doutorado. Segundo a avaliação do Índice Geral de Cursos criado pelo MEC, a UFMS é a segunda melhor universidade de Mato Grosso do Sul com conceito 4, que vai de 1 até 5, perdendo apenas para a Universidade Federal da Grande Dourados (UFGD). Na edição de 2014 do Guia do Estudante, a UFMS ficou em primeiro lugar no ano de 2013 como a melhor universidade de Mato Grosso do Sul ultrapassando, até então, a UFGD, como melhor instituição de ensino superior. Há ainda a proposta de criação da Universidade Federal do Pantanal (UFPAN) com sede em Corumbá absorvendo o atual Campus do Pantanal (CPAN) parte da UFMS e também a Universidade Federal do Bolsão (UFB) com sede em Três Lagoas absorvendo os atuais Campus de Paranaíba e Campus de Três Lagoas ambos também parte da UFMS hoje.",Os cursos de pós-graduação englobam quais cursos?
14,253,UFMS,UFMS,"A UFMS possui cursos de graduação e pós-graduação, ambos presenciais e a distância. Os cursos de pós-graduação englobam os cursos de especialização e os programas de mestrado e doutorado. Segundo a avaliação do Índice Geral de Cursos criado pelo MEC, a UFMS é a segunda melhor universidade de Mato Grosso do Sul com conceito 4, que vai de 1 até 5, perdendo apenas para a Universidade Federal da Grande Dourados (UFGD). Na edição de 2014 do Guia do Estudante, a UFMS ficou em primeiro lugar no ano de 2013 como a melhor universidade de Mato Grosso do Sul ultrapassando, até então, a UFGD, como melhor instituição de ensino superior. Há ainda a proposta de criação da Universidade Federal do Pantanal (UFPAN) com sede em Corumbá absorvendo o atual Campus do Pantanal (CPAN) parte da UFMS e também a Universidade Federal do Bolsão (UFB) com sede em Três Lagoas absorvendo os atuais Campus de Paranaíba e Campus de Três Lagoas ambos também parte da UFMS hoje.",Qual a segunda melhor universidade de Mato Grosso do Sul segundo a avaliação do Índice Geral de Cursos?
15,325,4,UFMS,"A UFMS possui cursos de graduação e pós-graduação, ambos presenciais e a distância. Os cursos de pós-graduação englobam os cursos de especialização e os programas de mestrado e doutorado. Segundo a avaliação do Índice Geral de Cursos criado pelo MEC, a UFMS é a segunda melhor universidade de Mato Grosso do Sul com conceito 4, que vai de 1 até 5, perdendo apenas para a Universidade Federal da Grande Dourados (UFGD). Na edição de 2014 do Guia do Estudante, a UFMS ficou em primeiro lugar no ano de 2013 como a melhor universidade de Mato Grosso do Sul ultrapassando, até então, a UFGD, como melhor instituição de ensino superior. Há ainda a proposta de criação da Universidade Federal do Pantanal (UFPAN) com sede em Corumbá absorvendo o atual Campus do Pantanal (CPAN) parte da UFMS e também a Universidade Federal do Bolsão (UFB) com sede em Três Lagoas absorvendo os atuais Campus de Paranaíba e Campus de Três Lagoas ambos também parte da UFMS hoje.",Qual o conceito da UFMS segundo a avaliação do Índice Geral de Cursos?
16,475,primeiro,UFMS,"A UFMS possui cursos de graduação e pós-graduação, ambos presenciais e a distância. Os cursos de pós-graduação englobam os cursos de especialização e os programas de mestrado e doutorado. Segundo a avaliação do Índice Geral de Cursos criado pelo MEC, a UFMS é a segunda melhor universidade de Mato Grosso do Sul com conceito 4, que vai de 1 até 5, perdendo apenas para a Universidade Federal da Grande Dourados (UFGD). Na edição de 2014 do Guia do Estudante, a UFMS ficou em primeiro lugar no ano de 2013 como a melhor universidade de Mato Grosso do Sul ultrapassando, até então, a UFGD, como melhor instituição de ensino superior. Há ainda a proposta de criação da Universidade Federal do Pantanal (UFPAN) com sede em Corumbá absorvendo o atual Campus do Pantanal (CPAN) parte da UFMS e também a Universidade Federal do Bolsão (UFB) com sede em Três Lagoas absorvendo os atuais Campus de Paranaíba e Campus de Três Lagoas ambos também parte da UFMS hoje.",Em que lugar ficou a UFMS na edição de 2014 do Guia do Estudante?
17,268,Reitoria,UFMS,"As Universidades Públicas no Brasil, em especial aquelas vinculadas ao Sistema Federal, adotam um modelo organizacional que se caracteriza por muitas similaridades em que predominam as decisões de Órgãos Colegiados. No caso da UFMS, a administração central se dá pela Reitoria que é o órgão executivo que administra, dirigindo, coordenando e superintendendo todas as atividades universitárias. O cargo de Reitor é exercido por um professor nomeado na forma da lei, para executar as decisões dos órgãos colegiados superiores da Universidade - Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão. A Reitora responde administrativamente e juridicamente por todos os atos no âmbito da Instituição. Isso inclui o ordenamento de despesas sendo responsável perante o MEC e o Tribunal de Contas da União por gerir o terceiro maior orçamento do Estado. A Reitora é responsável também por aproximar a Universidade da comunidade, por meio de convênios e parcerias com outros órgãos e instituições.",Por quem se dá a administração central da UFMS?
18,430,professor nomeado na forma da lei,UFMS,"As Universidades Públicas no Brasil, em especial aquelas vinculadas ao Sistema Federal, adotam um modelo organizacional que se caracteriza por muitas similaridades em que predominam as decisões de Órgãos Colegiados. No caso da UFMS, a administração central se dá pela Reitoria que é o órgão executivo que administra, dirigindo, coordenando e superintendendo todas as atividades universitárias. O cargo de Reitor é exercido por um professor nomeado na forma da lei, para executar as decisões dos órgãos colegiados superiores da Universidade - Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão. A Reitora responde administrativamente e juridicamente por todos os atos no âmbito da Instituição. Isso inclui o ordenamento de despesas sendo responsável perante o MEC e o Tribunal de Contas da União por gerir o terceiro maior orçamento do Estado. A Reitora é responsável também por aproximar a Universidade da comunidade, por meio de convênios e parcerias com outros órgãos e instituições.",Por quem é exercido o cargo de Reitor?
19,542,"Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão",UFMS,"As Universidades Públicas no Brasil, em especial aquelas vinculadas ao Sistema Federal, adotam um modelo organizacional que se caracteriza por muitas similaridades em que predominam as decisões de Órgãos Colegiados. No caso da UFMS, a administração central se dá pela Reitoria que é o órgão executivo que administra, dirigindo, coordenando e superintendendo todas as atividades universitárias. O cargo de Reitor é exercido por um professor nomeado na forma da lei, para executar as decisões dos órgãos colegiados superiores da Universidade - Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão. A Reitora responde administrativamente e juridicamente por todos os atos no âmbito da Instituição. Isso inclui o ordenamento de despesas sendo responsável perante o MEC e o Tribunal de Contas da União por gerir o terceiro maior orçamento do Estado. A Reitora é responsável também por aproximar a Universidade da comunidade, por meio de convênios e parcerias com outros órgãos e instituições.",Quais são os órgãos colegiados superiores da UFMS?
20,679,administrativamente e juridicamente,UFMS,"As Universidades Públicas no Brasil, em especial aquelas vinculadas ao Sistema Federal, adotam um modelo organizacional que se caracteriza por muitas similaridades em que predominam as decisões de Órgãos Colegiados. No caso da UFMS, a administração central se dá pela Reitoria que é o órgão executivo que administra, dirigindo, coordenando e superintendendo todas as atividades universitárias. O cargo de Reitor é exercido por um professor nomeado na forma da lei, para executar as decisões dos órgãos colegiados superiores da Universidade - Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão. A Reitora responde administrativamente e juridicamente por todos os atos no âmbito da Instituição. Isso inclui o ordenamento de despesas sendo responsável perante o MEC e o Tribunal de Contas da União por gerir o terceiro maior orçamento do Estado. A Reitora é responsável também por aproximar a Universidade da comunidade, por meio de convênios e parcerias com outros órgãos e instituições.",De que forma a Reitora responde por todos os atos no âmbito da Instituição?
21,911,Reitora,UFMS,"As Universidades Públicas no Brasil, em especial aquelas vinculadas ao Sistema Federal, adotam um modelo organizacional que se caracteriza por muitas similaridades em que predominam as decisões de Órgãos Colegiados. No caso da UFMS, a administração central se dá pela Reitoria que é o órgão executivo que administra, dirigindo, coordenando e superintendendo todas as atividades universitárias. O cargo de Reitor é exercido por um professor nomeado na forma da lei, para executar as decisões dos órgãos colegiados superiores da Universidade - Conselho Universitário (COUN); Conselho Diretor (CD), e Câmaras de Ensino, de Pesquisa e Pós-graduação e de Extensão. A Reitora responde administrativamente e juridicamente por todos os atos no âmbito da Instituição. Isso inclui o ordenamento de despesas sendo responsável perante o MEC e o Tribunal de Contas da União por gerir o terceiro maior orçamento do Estado. A Reitora é responsável também por aproximar a Universidade da comunidade, por meio de convênios e parcerias com outros órgãos e instituições.",Quem é responsável por aproximar a Universidade da comunidade?
22,47,Coordenadoria Biblioteca Central,UFMS,"O sistema de bibliotecas da UFMS é regido pela Coordenadoria Biblioteca Central(CBC) localizado em Campo Grande, subordinado a Pró-reitoria de Ensino e Graduação(PREG) com bibliotecas setoriais em todos os campus do interior do estado. O acervo está disponível para consulta na internet através do sistema Pergamum, desenvolvido pela PUC-PR e PUC-Rio, acessível de qualquer computador dentro e fora da instituição onde é possível, também, fazer auto empréstimo, reservar livros, salas de estudo dentre outros serviços.",Por quem é regido o sistema de bibliotecas da UFMS?
23,99,Campo Grande,UFMS,"O sistema de bibliotecas da UFMS é regido pela Coordenadoria Biblioteca Central(CBC) localizado em Campo Grande, subordinado a Pró-reitoria de Ensino e Graduação(PREG) com bibliotecas setoriais em todos os campus do interior do estado. O acervo está disponível para consulta na internet através do sistema Pergamum, desenvolvido pela PUC-PR e PUC-Rio, acessível de qualquer computador dentro e fora da instituição onde é possível, também, fazer auto empréstimo, reservar livros, salas de estudo dentre outros serviços.",Onde se localiza a CBC?
24,306,Pergamum,UFMS,"O sistema de bibliotecas da UFMS é regido pela Coordenadoria Biblioteca Central(CBC) localizado em Campo Grande, subordinado a Pró-reitoria de Ensino e Graduação(PREG) com bibliotecas setoriais em todos os campus do interior do estado. O acervo está disponível para consulta na internet através do sistema Pergamum, desenvolvido pela PUC-PR e PUC-Rio, acessível de qualquer computador dentro e fora da instituição onde é possível, também, fazer auto empréstimo, reservar livros, salas de estudo dentre outros serviços.",Através de qual sistema o acervo da biblioteca da UFMS está disponível para consulta na internet?
25,334,PUC-PR e PUC-Rio,UFMS,"O sistema de bibliotecas da UFMS é regido pela Coordenadoria Biblioteca Central(CBC) localizado em Campo Grande, subordinado a Pró-reitoria de Ensino e Graduação(PREG) com bibliotecas setoriais em todos os campus do interior do estado. O acervo está disponível para consulta na internet através do sistema Pergamum, desenvolvido pela PUC-PR e PUC-Rio, acessível de qualquer computador dentro e fora da instituição onde é possível, também, fazer auto empréstimo, reservar livros, salas de estudo dentre outros serviços.",Por quem foi desenvolvido o Pergamum?
26,365,qualquer computador,UFMS,"O sistema de bibliotecas da UFMS é regido pela Coordenadoria Biblioteca Central(CBC) localizado em Campo Grande, subordinado a Pró-reitoria de Ensino e Graduação(PREG) com bibliotecas setoriais em todos os campus do interior do estado. O acervo está disponível para consulta na internet através do sistema Pergamum, desenvolvido pela PUC-PR e PUC-Rio, acessível de qualquer computador dentro e fora da instituição onde é possível, também, fazer auto empréstimo, reservar livros, salas de estudo dentre outros serviços.",O Pergamum é acessível por quais computadores?
27,100,através da Editora da UFMS com uma loja na Cidade Universitária de Campo Grande e a TVU,UFMS,"Além de notícias internas publicadas pelo Jornal da UFMS, a instituição presta serviço à comunidade através da Editora da UFMS com uma loja na Cidade Universitária de Campo Grande e a TVU, transmitido no canal 14 pela TV a Cabo NET ou pelo site na internet . Em fevereiro de 2012, a reitora assinou o termo de cessão para explorar a rádio FM Educativa que, em breve, por caráter experimental, poderá transmitir programação de rádio para a comunidade em geral.",Como a instituição presta serviço à comunidade?
28,210,14,UFMS,"Além de notícias internas publicadas pelo Jornal da UFMS, a instituição presta serviço à comunidade através da Editora da UFMS com uma loja na Cidade Universitária de Campo Grande e a TVU, transmitido no canal 14 pela TV a Cabo NET ou pelo site na internet . Em fevereiro de 2012, a reitora assinou o termo de cessão para explorar a rádio FM Educativa que, em breve, por caráter experimental, poderá transmitir programação de rádio para a comunidade em geral.",Em qual canal é transmitido a TVU?
29,411,programação de rádio para a comunidade em geral,UFMS,"Além de notícias internas publicadas pelo Jornal da UFMS, a instituição presta serviço à comunidade através da Editora da UFMS com uma loja na Cidade Universitária de Campo Grande e a TVU, transmitido no canal 14 pela TV a Cabo NET ou pelo site na internet . Em fevereiro de 2012, a reitora assinou o termo de cessão para explorar a rádio FM Educativa que, em breve, por caráter experimental, poderá transmitir programação de rádio para a comunidade em geral.",O que poderá ser transmitido pela rádio FM Educativa por caráter experimental com a assinatura do termo de cessão?
30,92,em todas as regiões do País,POSCOMP,"O Exame Nacional para Ingresso na Pós-Graduação em Computação (POSCOMP) é um exame aplicado em todas as regiões do País. Em parceria com a Sociedade Peruana de Computação, desde 2006 o Exame passou a ser realizado no Peru. O POSCOMP testa conhecimentos na área de Computação e tem como objetivo específico avaliar os conhecimentos de candidatos a Programas de Pós-Graduação em Computação oferecidos no Brasil. A grande maioria dos Programas de Pós-Graduação no País utiliza, de alguma forma, o resultado do POSCOMP em seu processo seletivo.",Onde o POSCOMP é aplicado?
31,178,2006,POSCOMP,"O Exame Nacional para Ingresso na Pós-Graduação em Computação (POSCOMP) é um exame aplicado em todas as regiões do País. Em parceria com a Sociedade Peruana de Computação, desde 2006 o Exame passou a ser realizado no Peru. O POSCOMP testa conhecimentos na área de Computação e tem como objetivo específico avaliar os conhecimentos de candidatos a Programas de Pós-Graduação em Computação oferecidos no Brasil. A grande maioria dos Programas de Pós-Graduação no País utiliza, de alguma forma, o resultado do POSCOMP em seu processo seletivo.",Desde quando o POSCOMP passou a ser realizado no Peru?
32,306,avaliar os conhecimentos de candidatos a Programas de Pós-Graduação em Computação,POSCOMP,"O Exame Nacional para Ingresso na Pós-Graduação em Computação (POSCOMP) é um exame aplicado em todas as regiões do País. Em parceria com a Sociedade Peruana de Computação, desde 2006 o Exame passou a ser realizado no Peru. O POSCOMP testa conhecimentos na área de Computação e tem como objetivo específico avaliar os conhecimentos de candidatos a Programas de Pós-Graduação em Computação oferecidos no Brasil. A grande maioria dos Programas de Pós-Graduação no País utiliza, de alguma forma, o resultado do POSCOMP em seu processo seletivo.",Qual o objetivo do POSCOMP?
33,492,o resultado do POSCOMP,POSCOMP,"O Exame Nacional para Ingresso na Pós-Graduação em Computação (POSCOMP) é um exame aplicado em todas as regiões do País. Em parceria com a Sociedade Peruana de Computação, desde 2006 o Exame passou a ser realizado no Peru. O POSCOMP testa conhecimentos na área de Computação e tem como objetivo específico avaliar os conhecimentos de candidatos a Programas de Pós-Graduação em Computação oferecidos no Brasil. A grande maioria dos Programas de Pós-Graduação no País utiliza, de alguma forma, o resultado do POSCOMP em seu processo seletivo.",O que os Programas de Pós-Graduação utilizam em seu processo seletivo?
34,29,permitir que os candidatos a cursar Programas de Pós-Graduação em Computação possam participar dos processos seletivos em vários Programas no País,POSCOMP,"O POSCOMP foi concebido para permitir que os candidatos a cursar Programas de Pós-Graduação em Computação possam participar dos processos seletivos em vários Programas no País, sem a necessidade de deslocamento para a sede de cada um dos Programas postulados pelo candidato, cumprindo assim um forte papel de inclusão social. O candidato realiza a prova no local mais próximo de onde mora e o resultado de seu exame é enviado para todos Programas que participam do POSCOMP, podendo assim o candidato pleitear vaga em qualquer um dos programas de pós-graduação que participam do POSCOMP.",Para que o POSCOMP foi concebido?
35,198,deslocamento para a sede de cada um dos Programas postulados pelo candidato,POSCOMP,"O POSCOMP foi concebido para permitir que os candidatos a cursar Programas de Pós-Graduação em Computação possam participar dos processos seletivos em vários Programas no País, sem a necessidade de deslocamento para a sede de cada um dos Programas postulados pelo candidato, cumprindo assim um forte papel de inclusão social. O candidato realiza a prova no local mais próximo de onde mora e o resultado de seu exame é enviado para todos Programas que participam do POSCOMP, podendo assim o candidato pleitear vaga em qualquer um dos programas de pós-graduação que participam do POSCOMP.",O POSCOMP dispensou a necessidade de quê?
36,309,inclusão social,POSCOMP,"O POSCOMP foi concebido para permitir que os candidatos a cursar Programas de Pós-Graduação em Computação possam participar dos processos seletivos em vários Programas no País, sem a necessidade de deslocamento para a sede de cada um dos Programas postulados pelo candidato, cumprindo assim um forte papel de inclusão social. O candidato realiza a prova no local mais próximo de onde mora e o resultado de seu exame é enviado para todos Programas que participam do POSCOMP, podendo assim o candidato pleitear vaga em qualquer um dos programas de pós-graduação que participam do POSCOMP.",Qual um forte papel cumprido pelo POSCOMP?
